日期/时间,开盘价,最高价,最低价,收盘价,成交量,成交额,结算/均价
2019-09-26 15:00,8100.00,8160.00,7983.00,8056.00,8529.00,56848,8070.00
2019-09-27 15:00,8020.00,8068.00,7901.00,7940.00,7537.00,19957,7977.00
2019-09-30 15:00,7905.00,7999.00,7905.00,7976.00,6732.00,6869,7956.00
2019-10-08 15:00,7950.00,7998.00,7920.00,7968.00,7104.00,2735,7962.00
2019-10-09 15:00,7971.00,8018.00,7940.00,7952.00,7991.00,6449,7974.00
2019-10-10 15:00,7950.00,7968.00,7835.00,7843.00,10555.00,22385,7872.00
2019-10-11 15:00,7832.00,7880.00,7794.00,7826.00,11258.00,14821,7834.00
2019-10-14 15:00,7828.00,7850.00,7756.00,7770.00,14783.00,14861,7796.00
2019-10-15 15:00,7760.00,7760.00,7592.00,7649.00,20841.00,31746,7667.00
2019-10-16 15:00,7675.00,7676.00,7490.00,7526.00,24677.00,36496,7579.00
2019-10-17 15:00,7510.00,7518.00,7425.00,7478.00,28069.00,38909,7463.00
2019-10-18 15:00,7490.00,7574.00,7467.00,7546.00,26395.00,41809,7528.00
2019-10-21 15:00,7560.00,7585.00,7466.00,7494.00,25217.00,25829,7525.00
2019-10-22 15:00,7503.00,7509.00,7409.00,7469.00,26976.00,22627,7467.00
2019-10-23 15:00,7502.00,7515.00,7442.00,7447.00,28872.00,17925,7470.00
2019-10-24 15:00,7430.00,7544.00,7400.00,7509.00,29101.00,34443,7502.00
2019-10-25 15:00,7520.00,7530.00,7455.00,7456.00,28690.00,15032,7493.00
2019-10-28 15:00,7450.00,7502.00,7411.00,7430.00,31211.00,21911,7458.00
2019-10-29 15:00,7430.00,7456.00,7370.00,7383.00,34259.00,24403,7411.00
2019-10-30 15:00,7370.00,7399.00,7325.00,7336.00,42733.00,39191,7357.00
2019-10-31 15:00,7320.00,7354.00,7316.00,7325.00,45431.00,23373,7331.00
2019-11-01 15:00,7316.00,7350.00,7244.00,7248.00,50404.00,45316,7293.00
2019-11-04 15:00,7251.00,7321.00,7250.00,7312.00,52330.00,31344,7280.00
2019-11-05 15:00,7313.00,7372.00,7305.00,7331.00,49901.00,36829,7336.00
2019-11-06 15:00,7356.00,7362.00,7324.00,7330.00,51990.00,20157,7338.00
2019-11-07 15:00,7327.00,7336.00,7228.00,7258.00,57589.00,34694,7279.00
2019-11-08 15:00,7293.00,7294.00,7070.00,7087.00,70810.00,72468,7169.00
2019-11-11 15:00,7088.00,7097.00,6953.00,6963.00,73480.00,79671,7022.00
2019-11-12 15:00,6958.00,6982.00,6905.00,6951.00,76953.00,70022,6939.00
2019-11-13 15:00,6950.00,7068.00,6941.00,6964.00,74240.00,108179,7002.00
2019-11-14 15:00,6976.00,6982.00,6872.00,6940.00,75501.00,75767,6920.00
2019-11-15 15:00,6940.00,6992.00,6925.00,6949.00,73066.00,63737,6956.00
2019-11-18 15:00,6950.00,7019.00,6935.00,7004.00,71899.00,62110,6980.00
2019-11-19 15:00,6997.00,7020.00,6911.00,6954.00,73397.00,60997,6960.00
2019-11-20 15:00,6947.00,6950.00,6888.00,6930.00,78426.00,57893,6922.00
2019-11-21 15:00,6932.00,6992.00,6912.00,6974.00,83937.00,60115,6957.00
2019-11-22 15:00,6976.00,7046.00,6962.00,6986.00,86825.00,70501,7000.00
2019-11-25 15:00,6986.00,7087.00,6986.00,7086.00,88425.00,68432,7031.00
2019-11-26 15:00,7085.00,7156.00,7036.00,7150.00,88873.00,98041,7101.00
2019-11-27 15:00,7153.00,7235.00,7126.00,7141.00,94493.00,136583,7180.00
2019-11-28 15:00,7160.00,7194.00,7106.00,7152.00,94955.00,80932,7153.00
2019-11-29 15:00,7164.00,7164.00,7070.00,7125.00,94743.00,67557,7116.00
2019-12-02 15:00,7114.00,7144.00,7010.00,7056.00,96642.00,76895,7069.00
2019-12-03 15:00,7055.00,7191.00,7053.00,7167.00,91618.00,95783,7125.00
2019-12-04 15:00,7170.00,7264.00,7156.00,7176.00,92594.00,108851,7204.00
2019-12-05 15:00,7200.00,7324.00,7200.00,7302.00,90325.00,110273,7266.00
2019-12-06 15:00,7330.00,7343.00,7281.00,7327.00,90307.00,64156,7315.00
2019-12-09 15:00,7326.00,7494.00,7268.00,7276.00,76707.00,150994,7387.00
2019-12-10 15:00,7270.00,7381.00,7266.00,7376.00,75723.00,125292,7322.00
2019-12-11 15:00,7396.00,7443.00,7246.00,7268.00,80099.00,150463,7346.00
2019-12-12 15:00,7270.00,7331.00,7220.00,7326.00,82904.00,94930,7279.00
2019-12-13 15:00,7333.00,7388.00,7261.00,7323.00,81063.00,108602,7327.00
2019-12-16 15:00,7330.00,7383.00,7302.00,7346.00,79329.00,92212,7344.00
2019-12-17 15:00,7330.00,7447.00,7330.00,7430.00,79305.00,85903,7397.00
2019-12-18 15:00,7450.00,7480.00,7343.00,7364.00,75418.00,82428,7414.00
2019-12-19 15:00,7376.00,7442.00,7344.00,7434.00,79264.00,70712,7394.00
2019-12-20 15:00,7430.00,7466.00,7394.00,7404.00,78939.00,69838,7425.00
2019-12-23 15:00,7420.00,7424.00,7315.00,7350.00,79716.00,84927,7373.00
2019-12-24 15:00,7356.00,7380.00,7323.00,7359.00,79079.00,51566,7350.00
2019-12-25 15:00,7370.00,7392.00,7346.00,7351.00,78574.00,45637,7369.00
2019-12-26 15:00,7348.00,7375.00,7320.00,7366.00,79828.00,39018,7349.00
2019-12-27 15:00,7367.00,7419.00,7352.00,7408.00,77457.00,66642,7385.00
2019-12-30 15:00,7408.00,7426.00,7373.00,7375.00,74565.00,62676,7403.00
2019-12-31 15:00,7382.00,7397.00,7237.00,7276.00,80802.00,105398,7304.00
2020-01-02 15:00,7288.00,7336.00,7261.00,7291.00,81424.00,38527,7295.00
2020-01-03 15:00,7294.00,7345.00,7271.00,7321.00,79582.00,49829,7306.00
2020-01-06 15:00,7330.00,7410.00,7316.00,7387.00,75131.00,59768,7367.00
2020-01-07 15:00,7390.00,7390.00,7281.00,7318.00,75409.00,51068,7329.00
2020-01-08 15:00,7308.00,7438.00,7303.00,7374.00,68952.00,72616,7367.00
2020-01-09 15:00,7344.00,7385.00,7266.00,7305.00,67645.00,58620,7319.00
2020-01-10 15:00,7311.00,7428.00,7259.00,7428.00,68950.00,72901,7338.00
2020-01-13 15:00,7438.00,7566.00,7422.00,7541.00,81191.00,156246,7506.00
2020-01-14 15:00,7541.00,7587.00,7478.00,7541.00,84049.00,89977,7518.00
2020-01-15 15:00,7551.00,7576.00,7480.00,7531.00,85644.00,84802,7513.00
2020-01-16 15:00,7530.00,7550.00,7389.00,7467.00,75426.00,85693,7472.00
2020-01-17 15:00,7459.00,7498.00,7440.00,7459.00,75284.00,50251,7473.00
2020-01-20 15:00,7470.00,7530.00,7456.00,7515.00,75192.00,59879,7505.00
2020-01-21 15:00,7510.00,7538.00,7421.00,7434.00,68443.00,52832,7476.00
2020-01-22 15:00,7420.00,7438.00,7310.00,7394.00,59901.00,57500,7370.00
2020-01-23 15:00,7395.00,7410.00,7266.00,7282.00,58260.00,31343,7329.00
2020-02-03 15:00,6890.00,6930.00,6890.00,6890.00,52889.00,23458,6896.00
2020-02-04 15:00,6700.00,6876.00,6497.00,6865.00,50829.00,52335,6792.00
2020-02-05 15:00,6810.00,7013.00,6810.00,6945.00,53123.00,54850,6950.00
2020-02-06 15:00,6980.00,7022.00,6925.00,6991.00,54077.00,33204,6971.00
2020-02-07 15:00,6973.00,6985.00,6943.00,6971.00,54337.00,21261,6964.00
2020-02-10 15:00,6950.00,6989.00,6923.00,6966.00,56366.00,18906,6966.00
2020-02-11 15:00,6943.00,6980.00,6913.00,6938.00,58774.00,31114,6954.00
2020-02-12 15:00,6920.00,6948.00,6816.00,6868.00,63052.00,52092,6882.00
2020-02-13 15:00,6890.00,6898.00,6831.00,6879.00,64599.00,32509,6869.00
2020-02-14 15:00,6883.00,6915.00,6841.00,6886.00,63968.00,31708,6874.00
2020-02-17 15:00,6899.00,6990.00,6870.00,6956.00,64734.00,34639,6933.00
2020-02-18 15:00,6956.00,7008.00,6930.00,6938.00,67270.00,35577,6970.00
2020-02-19 15:00,6956.00,7030.00,6935.00,7000.00,70837.00,37556,6980.00
2020-02-20 15:00,7020.00,7068.00,6983.00,7027.00,73354.00,43138,7025.00
2020-02-21 15:00,7027.00,7078.00,7012.00,7044.00,75500.00,40470,7049.00
2020-02-24 15:00,7007.00,7030.00,6951.00,7024.00,73266.00,34752,6998.00
2020-02-25 15:00,6966.00,7020.00,6954.00,7009.00,73157.00,26606,6980.00
2020-02-26 15:00,6980.00,7044.00,6907.00,6911.00,73694.00,46827,6972.00
2020-02-27 15:00,6883.00,6890.00,6820.00,6840.00,74043.00,31452,6851.00
2020-02-28 15:00,6800.00,6829.00,6681.00,6697.00,70808.00,44962,6740.00
2020-03-02 15:00,6680.00,6788.00,6646.00,6759.00,73314.00,43432,6747.00
2020-03-03 15:00,6808.00,6850.00,6700.00,6701.00,78601.00,50841,6775.00
2020-03-04 15:00,6752.00,6785.00,6714.00,6759.00,77508.00,40547,6742.00
2020-03-05 15:00,6760.00,6777.00,6722.00,6751.00,75870.00,37279,6750.00
2020-03-06 15:00,6730.00,6748.00,6660.00,6714.00,73505.00,45951,6702.00
2020-03-09 15:00,6434.00,6434.00,6434.00,6434.00,72647.00,1553,6434.00
2020-03-10 15:00,6000.00,6332.00,6000.00,6276.00,68113.00,64130,6199.00
2020-03-11 15:00,6300.00,6350.00,6176.00,6189.00,68980.00,35474,6258.00
2020-03-12 15:00,6150.00,6195.00,6011.00,6120.00,69564.00,51533,6090.00
2020-03-13 15:00,6030.00,6098.00,5923.00,6083.00,66856.00,54584,6006.00
2020-03-16 15:00,6065.00,6075.00,5939.00,5943.00,64478.00,56941,6016.00
2020-03-17 15:00,5900.00,5945.00,5776.00,5776.00,71276.00,103445,5806.00
2020-03-18 15:00,5692.00,5695.00,5400.00,5400.00,71188.00,133892,5561.00
2020-03-19 15:00,5110.00,5278.00,5061.00,5061.00,63573.00,96187,5097.00
2020-03-20 15:00,5288.00,5313.00,4984.00,5177.00,62913.00,192060,5106.00
2020-03-23 15:00,4723.00,5000.00,4658.00,4832.00,62829.00,134934,4816.00
2020-03-24 15:00,4900.00,4916.00,4573.00,4783.00,62858.00,147460,4758.00
2020-03-25 15:00,4663.00,4746.00,4505.00,4561.00,78514.00,221048,4617.00
2020-03-26 15:00,4534.00,4706.00,4466.00,4612.00,86579.00,223459,4599.00
2020-03-27 15:00,4651.00,4698.00,4520.00,4645.00,92488.00,199424,4616.00
2020-03-30 15:00,4550.00,4597.00,4338.00,4341.00,80809.00,201547,4487.00
2020-03-31 15:00,4378.00,4599.00,4366.00,4425.00,82014.00,208540,4464.00
2020-04-01 15:00,4396.00,4485.00,4380.00,4424.00,78269.00,97146,4441.00
2020-04-02 15:00,4380.00,4777.00,4380.00,4666.00,74460.00,182364,4532.00
2020-04-03 15:00,4756.00,4920.00,4620.00,4884.00,66333.00,142198,4739.00
2020-04-07 15:00,4978.00,4994.00,4853.00,4940.00,58340.00,134277,4930.00
2020-04-08 15:00,4880.00,5066.00,4791.00,4999.00,49438.00,112475,4947.00
2020-04-09 15:00,5124.00,5392.00,5000.00,5392.00,53919.00,214241,5263.00
2020-04-10 15:00,5284.00,5513.00,5230.00,5299.00,45230.00,315699,5363.00
2020-04-13 15:00,5385.00,5617.00,5288.00,5362.00,38500.00,177651,5453.00
2020-04-14 15:00,5398.00,5398.00,5128.00,5220.00,32541.00,113390,5229.00
2020-04-15 15:00,5314.00,5488.00,5237.00,5414.00,90989.00,162170,5372.00
2020-04-16 15:00,5350.00,5498.00,5350.00,5426.00,95343.00,158744,5431.00
2020-04-17 15:00,5500.00,5648.00,5456.00,5526.00,99776.00,196991,5546.00
2020-04-20 15:00,5401.00,5555.00,5380.00,5548.00,105949.00,131163,5484.00
2020-04-21 15:00,5490.00,5546.00,5065.00,5200.00,103015.00,300601,5295.00
2020-04-22 15:00,4950.00,5043.00,4819.00,4819.00,106368.00,243539,4880.00
2020-04-23 15:00,4920.00,5319.00,4919.00,5305.00,113223.00,285919,5170.00
2020-04-24 15:00,5350.00,5397.00,5203.00,5301.00,112043.00,253528,5280.00
2020-04-27 15:00,5290.00,5430.00,5228.00,5326.00,109721.00,200544,5331.00
2020-04-28 15:00,5288.00,5419.00,5262.00,5354.00,114904.00,194034,5351.00
2020-04-29 15:00,5400.00,5492.00,5400.00,5456.00,113970.00,137626,5450.00
2020-04-30 15:00,5587.00,5588.00,5461.00,5530.00,111767.00,100450,5511.00
2020-05-06 15:00,5800.00,5810.00,5661.00,5725.00,118527.00,120518,5734.00
2020-05-07 15:00,5700.00,5730.00,5517.00,5528.00,128057.00,205031,5622.00
2020-05-08 15:00,5602.00,5618.00,5440.00,5535.00,123657.00,194432,5530.00
2020-05-11 15:00,5515.00,5577.00,5424.00,5446.00,125678.00,116671,5504.00
2020-05-12 15:00,5487.00,5495.00,5392.00,5452.00,122850.00,105218,5446.00
2020-05-13 15:00,5475.00,5563.00,5356.00,5484.00,122107.00,184650,5463.00
2020-05-14 15:00,5510.00,5543.00,5435.00,5508.00,122473.00,115359,5490.00
2020-05-15 15:00,5500.00,5627.00,5475.00,5588.00,125021.00,130023,5559.00
2020-05-18 15:00,5600.00,5801.00,5552.00,5731.00,130004.00,161349,5699.00
2020-05-19 15:00,5760.00,5889.00,5682.00,5740.00,128671.00,202625,5789.00
2020-05-20 15:00,5750.00,5818.00,5711.00,5780.00,130118.00,120974,5770.00
2020-05-21 15:00,5780.00,5825.00,5733.00,5771.00,128622.00,142624,5776.00
2020-05-22 15:00,5780.00,5845.00,5586.00,5607.00,122826.00,184028,5712.00
2020-05-25 15:00,5610.00,5729.00,5570.00,5702.00,122163.00,110913,5665.00
2020-05-26 15:00,5722.00,5745.00,5670.00,5689.00,122825.00,81757,5706.00
2020-05-27 15:00,5730.00,5767.00,5646.00,5730.00,120899.00,112098,5708.00
2020-05-28 15:00,5720.00,5745.00,5605.00,5671.00,119725.00,123815,5678.00
2020-05-29 15:00,5686.00,5744.00,5650.00,5670.00,117706.00,104111,5688.00
2020-06-01 15:00,5670.00,5806.00,5643.00,5794.00,115660.00,117554,5737.00
2020-06-02 15:00,5790.00,5850.00,5750.00,5804.00,116117.00,82354,5798.00
2020-06-03 15:00,5810.00,5988.00,5801.00,5951.00,129515.00,148721,5900.00
2020-06-04 15:00,5920.00,5935.00,5788.00,5811.00,121767.00,113950,5874.00
2020-06-05 15:00,5811.00,5890.00,5788.00,5876.00,122276.00,73092,5856.00
2020-06-08 15:00,5950.00,5986.00,5863.00,5904.00,121205.00,84790,5906.00
2020-06-09 15:00,5888.00,5917.00,5822.00,5847.00,121963.00,73088,5869.00
2020-06-10 15:00,5840.00,5895.00,5815.00,5850.00,121153.00,64098,5849.00
2020-06-11 15:00,5850.00,5870.00,5764.00,5780.00,122393.00,77761,5822.00
2020-06-12 15:00,5751.00,5759.00,5580.00,5680.00,117997.00,106151,5679.00
2020-06-15 15:00,5707.00,5780.00,5622.00,5666.00,115747.00,85589,5699.00
2020-06-16 15:00,5672.00,5798.00,5656.00,5793.00,113021.00,75466,5735.00
2020-06-17 15:00,5825.00,5859.00,5741.00,5768.00,113420.00,65602,5798.00
2020-06-18 15:00,5768.00,5818.00,5744.00,5799.00,112971.00,52292,5781.00
2020-06-19 15:00,5829.00,5880.00,5786.00,5841.00,111141.00,59351,5836.00
2020-06-22 15:00,5860.00,5865.00,5736.00,5757.00,112209.00,78118,5786.00
2020-06-23 15:00,5768.00,5805.00,5719.00,5773.00,111367.00,62446,5761.00
2020-06-24 15:00,5780.00,5794.00,5735.00,5757.00,110589.00,44806,5755.00
2020-06-29 15:00,5653.00,5719.00,5621.00,5638.00,114918.00,53353,5665.00
2020-06-30 15:00,5659.00,5698.00,5646.00,5660.00,113671.00,47434,5672.00
2020-07-01 15:00,5650.00,5680.00,5552.00,5660.00,118512.00,124744,5606.00
2020-07-02 15:00,5650.00,5700.00,5604.00,5686.00,116174.00,78671,5648.00
2020-07-03 15:00,5680.00,5750.00,5660.00,5715.00,113336.00,76188,5706.00
2020-07-06 15:00,5702.00,5772.00,5635.00,5744.00,112832.00,144290,5707.00
2020-07-07 15:00,5744.00,5790.00,5680.00,5699.00,110908.00,125164,5735.00
2020-07-08 15:00,5712.00,5748.00,5675.00,5714.00,109937.00,66267,5713.00
2020-07-09 15:00,5714.00,5739.00,5657.00,5682.00,116268.00,74377,5691.00
2020-07-10 15:00,5681.00,5690.00,5500.00,5501.00,138347.00,159280,5585.00
2020-07-13 15:00,5535.00,5637.00,5529.00,5587.00,131042.00,96890,5579.00
2020-07-14 15:00,5576.00,5625.00,5466.00,5599.00,126216.00,125164,5544.00
2020-07-15 15:00,5598.00,5686.00,5584.00,5668.00,112519.00,113562,5650.00
2020-07-16 15:00,5670.00,5699.00,5618.00,5631.00,108442.00,76164,5659.00
2020-07-17 15:00,5603.00,5655.00,5526.00,5560.00,112003.00,83944,5583.00
2020-07-20 15:00,5580.00,5628.00,5532.00,5598.00,111324.00,85639,5584.00
2020-07-21 15:00,5570.00,5625.00,5550.00,5572.00,109519.00,66411,5585.00
2020-07-22 15:00,5619.00,5650.00,5578.00,5592.00,106230.00,84820,5612.00
2020-07-23 15:00,5593.00,5717.00,5520.00,5701.00,112563.00,137523,5611.00
2020-07-24 15:00,5686.00,5760.00,5632.00,5678.00,109942.00,159225,5709.00
2020-07-27 15:00,5693.00,5734.00,5660.00,5729.00,108084.00,77133,5699.00
2020-07-28 15:00,5725.00,5742.00,5641.00,5672.00,107492.00,84918,5696.00
2020-07-29 15:00,5670.00,5715.00,5657.00,5694.00,107950.00,61756,5691.00
2020-07-30 15:00,5700.00,5714.00,5582.00,5631.00,104183.00,98533,5651.00
2020-07-31 15:00,5631.00,5643.00,5553.00,5560.00,104846.00,97277,5585.00
2020-08-03 15:00,5550.00,5570.00,5511.00,5520.00,105655.00,75561,5539.00
2020-08-04 15:00,5541.00,5609.00,5523.00,5544.00,101220.00,71234,5559.00
2020-08-05 15:00,5535.00,5596.00,5516.00,5551.00,97453.00,53654,5562.00
2020-08-06 15:00,5598.00,5605.00,5526.00,5570.00,97660.00,61995,5562.00
2020-08-07 15:00,5580.00,5590.00,5422.00,5432.00,104990.00,106191,5484.00
2020-08-10 15:00,5450.00,5450.00,5322.00,5433.00,101072.00,103991,5374.00
2020-08-11 15:00,5433.00,5518.00,5406.00,5445.00,91367.00,73623,5458.00
2020-08-12 15:00,5445.00,5460.00,5385.00,5437.00,87568.00,58658,5429.00
2020-08-13 15:00,5440.00,5465.00,5400.00,5444.00,83616.00,45020,5435.00
2020-08-14 15:00,5444.00,5471.00,5370.00,5375.00,84746.00,53194,5431.00
2020-08-17 15:00,5380.00,5388.00,5308.00,5323.00,84613.00,60082,5344.00
2020-08-18 15:00,5313.00,5346.00,5245.00,5253.00,76869.00,67507,5298.00
2020-08-19 15:00,5256.00,5272.00,5092.00,5108.00,66714.00,96588,5158.00
2020-08-20 15:00,5070.00,5241.00,5070.00,5158.00,51691.00,64420,5167.00
2020-08-21 15:00,5195.00,5304.00,5141.00,5299.00,38026.00,58966,5236.00
2020-08-24 15:00,5640.00,5720.00,5616.00,5720.00,81507.00,81239,5670.00
2020-08-25 15:00,5720.00,5743.00,5685.00,5716.00,84098.00,61642,5712.00
2020-08-26 15:00,5720.00,5730.00,5620.00,5642.00,87313.00,81282,5684.00
2020-08-27 15:00,5644.00,5750.00,5632.00,5741.00,95215.00,82593,5693.00
2020-08-28 15:00,5741.00,5780.00,5682.00,5728.00,94508.00,79187,5732.00
2020-08-31 15:00,5723.00,5808.00,5722.00,5782.00,98273.00,57136,5771.00
2020-09-01 15:00,5786.00,5799.00,5715.00,5784.00,98106.00,63604,5761.00
2020-09-02 15:00,5805.00,5880.00,5796.00,5834.00,98826.00,99427,5843.00
2020-09-03 15:00,5835.00,5845.00,5755.00,5774.00,95554.00,68593,5811.00
2020-09-04 15:00,5757.00,5782.00,5696.00,5736.00,87760.00,79386,5735.00
2020-09-07 15:00,5745.00,5807.00,5666.00,5682.00,89436.00,93431,5723.00
2020-09-08 15:00,5691.00,5714.00,5625.00,5635.00,88007.00,78436,5674.00
2020-09-09 15:00,5600.00,5656.00,5517.00,5605.00,83306.00,96066,5591.00
2020-09-10 15:00,5612.00,5747.00,5582.00,5714.00,95694.00,136254,5685.00
2020-09-11 15:00,5738.00,5738.00,5655.00,5694.00,94280.00,73887,5700.00
2020-09-14 15:00,5730.00,5764.00,5636.00,5742.00,100784.00,87569,5709.00
2020-09-15 15:00,5745.00,5780.00,5700.00,5710.00,100623.00,101330,5740.00
2020-09-16 15:00,5757.00,5784.00,5703.00,5780.00,105840.00,105674,5751.00
2020-09-17 15:00,5788.00,5805.00,5721.00,5742.00,105099.00,72718,5758.00
2020-09-18 15:00,5730.00,5856.00,5730.00,5812.00,115810.00,124486,5800.00
2020-09-21 15:00,5801.00,5810.00,5731.00,5746.00,108991.00,83214,5776.00
2020-09-22 15:00,5740.00,5740.00,5570.00,5629.00,95756.00,108013,5663.00
2020-09-23 15:00,5629.00,5678.00,5602.00,5670.00,96736.00,76749,5639.00
2020-09-24 15:00,5670.00,5694.00,5573.00,5590.00,97075.00,80128,5621.00
2020-09-25 15:00,5585.00,5656.00,5554.00,5622.00,92155.00,70136,5612.00
2020-09-28 15:00,5645.00,5725.00,5606.00,5645.00,86103.00,83546,5661.00
2020-09-29 15:00,5682.00,5720.00,5643.00,5665.00,85745.00,61084,5679.00
2020-09-30 15:00,5657.00,5668.00,5538.00,5596.00,77608.00,85409,5597.00
2020-10-09 15:00,5668.00,5749.00,5640.00,5648.00,81578.00,49251,5681.00
2020-10-12 15:00,5652.00,5745.00,5629.00,5740.00,90791.00,80147,5697.00
2020-10-13 15:00,5756.00,5970.00,5750.00,5942.00,120742.00,188850,5867.00
2020-10-14 15:00,5960.00,6310.00,5935.00,6171.00,147844.00,467578,6162.00
2020-10-15 15:00,6200.00,6248.00,6108.00,6194.00,143840.00,209420,6180.00
2020-10-16 15:00,6164.00,6265.00,6116.00,6173.00,137919.00,208446,6181.00
2020-10-19 15:00,6190.00,6618.00,6190.00,6324.00,144634.00,396701,6380.00
2020-10-20 15:00,6365.00,6467.00,6324.00,6422.00,144807.00,175375,6399.00
2020-10-21 15:00,6480.00,6676.00,6383.00,6405.00,139060.00,345024,6528.00
2020-10-22 15:00,6411.00,6527.00,6300.00,6506.00,144436.00,213699,6428.00
2020-10-23 15:00,6511.00,6513.00,6266.00,6271.00,133268.00,187021,6375.00
2020-10-26 15:00,6315.00,6460.00,6283.00,6359.00,130337.00,164762,6371.00
2020-10-27 15:00,6348.00,6509.00,6310.00,6437.00,138574.00,205350,6407.00
2020-10-28 15:00,6520.00,6625.00,6472.00,6599.00,147428.00,240808,6553.00
2020-10-29 15:00,6597.00,6861.00,6553.00,6832.00,179280.00,407484,6706.00
2020-10-30 15:00,6790.00,6946.00,6678.00,6746.00,154798.00,492186,6817.00
2020-11-02 15:00,6770.00,7021.00,6684.00,7004.00,164508.00,314155,6846.00
2020-11-03 15:00,6988.00,7041.00,6884.00,6961.00,152494.00,228916,6971.00
2020-11-04 15:00,7084.00,7303.00,7023.00,7276.00,173960.00,423650,7180.00
2020-11-05 15:00,7280.00,7406.00,7075.00,7081.00,159490.00,490501,7250.00
2020-11-06 15:00,7118.00,7177.00,6934.00,6990.00,146818.00,399610,7061.00
2020-11-09 15:00,7040.00,7400.00,7030.00,7391.00,165287.00,497482,7247.00
2020-11-10 15:00,7505.00,7580.00,7278.00,7388.00,159238.00,442229,7443.00
2020-11-11 15:00,7420.00,7600.00,7309.00,7600.00,169658.00,335552,7433.00
2020-11-12 15:00,7632.00,7700.00,7508.00,7600.00,171319.00,501185,7621.00
2020-11-13 15:00,7566.00,7872.00,7548.00,7860.00,190442.00,551190,7697.00
2020-11-16 15:00,7850.00,8435.00,7825.00,8299.00,197981.00,890486,8148.00
2020-11-17 15:00,8150.00,8200.00,7861.00,7960.00,164027.00,980632,8018.00
2020-11-18 15:00,7939.00,7954.00,7660.00,7677.00,159185.00,808479,7769.00
2020-11-19 15:00,7688.00,7918.00,7498.00,7518.00,156024.00,963408,7706.00
2020-11-20 15:00,7550.00,7597.00,7433.00,7527.00,152691.00,577776,7512.00
2020-11-23 15:00,7550.00,7740.00,7444.00,7612.00,149280.00,594957,7590.00
2020-11-24 15:00,7612.00,7646.00,7226.00,7280.00,147243.00,502292,7395.00
2020-11-25 15:00,7262.00,7388.00,7241.00,7340.00,131921.00,249499,7322.00
2020-11-26 15:00,7347.00,7538.00,7250.00,7350.00,142641.00,488976,7427.00
2020-11-27 15:00,7350.00,7533.00,7240.00,7532.00,138335.00,351105,7397.00
2020-11-30 15:00,7550.00,7773.00,7462.00,7623.00,139580.00,408446,7614.00
2020-12-01 15:00,7654.00,7699.00,7410.00,7411.00,128141.00,288609,7562.00
2020-12-02 15:00,7412.00,7465.00,7280.00,7318.00,131437.00,277061,7375.00
2020-12-03 15:00,7300.00,7440.00,7190.00,7350.00,123291.00,213114,7332.00
2020-12-04 15:00,7329.00,7346.00,7046.00,7090.00,124723.00,298099,7175.00
2020-12-07 15:00,7063.00,7320.00,7022.00,7290.00,111606.00,241229,7172.00
2020-12-08 15:00,7297.00,7347.00,7087.00,7139.00,106307.00,187695,7182.00
2020-12-09 15:00,7092.00,7257.00,6902.00,6930.00,105871.00,227545,7107.00
2020-12-10 15:00,6990.00,6992.00,6690.00,6756.00,103322.00,221540,6837.00
2020-12-11 15:00,6760.00,6869.00,6684.00,6814.00,88539.00,174429,6776.00
2020-12-14 15:00,6791.00,6925.00,6713.00,6822.00,83245.00,162217,6817.00
2020-12-15 15:00,6850.00,6895.00,6642.00,6834.00,76577.00,205177,6794.00
2020-12-16 15:00,6860.00,6928.00,6620.00,6647.00,77206.00,155170,6756.00
2020-12-17 15:00,6655.00,6885.00,6570.00,6881.00,74389.00,194292,6711.00
2020-12-18 15:00,6888.00,7155.00,6860.00,6943.00,58458.00,184644,6977.00
2020-12-21 15:00,6943.00,6976.00,6650.00,6674.00,52828.00,112550,6798.00
2020-12-22 15:00,6629.00,6732.00,6416.00,6484.00,42739.00,109541,6587.00
2020-12-23 15:00,6507.00,6545.00,6292.00,6377.00,58477.00,225357,6411.00
2020-12-24 15:00,6403.00,6606.00,6387.00,6483.00,56192.00,181943,6494.00
2020-12-25 15:00,6440.00,6665.00,6416.00,6455.00,60194.00,198512,6524.00
2020-12-28 15:00,6450.00,6455.00,6095.00,6130.00,82157.00,358233,6220.00
2020-12-29 15:00,6141.00,6155.00,6011.00,6082.00,83419.00,322465,6088.00
2020-12-30 15:00,6120.00,6237.00,6072.00,6185.00,70904.00,282768,6154.00
2020-12-31 15:00,6204.00,6367.00,6126.00,6356.00,57144.00,156813,6249.00
2021-01-04 15:00,6375.00,6415.00,6233.00,6364.00,52965.00,87417,6321.00
2021-01-05 15:00,6335.00,6532.00,6325.00,6411.00,46619.00,222357,6429.00
2021-01-06 15:00,6430.00,6688.00,6428.00,6600.00,48554.00,317611,6578.00
2021-01-07 15:00,6580.00,6730.00,6462.00,6660.00,51510.00,255339,6610.00
2021-01-08 15:00,6675.00,6795.00,6536.00,6698.00,47439.00,249542,6658.00
2021-01-11 15:00,6671.00,6885.00,6570.00,6679.00,43030.00,332150,6696.00
2021-01-12 15:00,6721.00,6808.00,6551.00,6758.00,43990.00,276817,6679.00
2021-01-13 15:00,6752.00,6997.00,6747.00,6898.00,50087.00,255004,6866.00
2021-01-14 15:00,6891.00,6969.00,6652.00,6689.00,38138.00,252080,6799.00
2021-01-15 15:00,6703.00,6868.00,6674.00,6790.00,43787.00,116021,6767.00
